,id,titel,output
453167,BWBR0001827/3179724,"Wetboek van Burgerlijke Rechtsvordering (geldt in geval van digitaal procederen), Artikel 223","Uw vraag lijkt te gaan om <b>Wetboek van Burgerlijke Rechtsvordering (geldt in geval van digitaal procederen), Artikel 223</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
453488,BWBR0001827/3183444,"Wetboek van Burgerlijke Rechtsvordering (geldt in geval van digitaal procederen), Artikel 475e","Uw vraag lijkt te gaan om <b>Wetboek van Burgerlijke Rechtsvordering (geldt in geval van digitaal procederen), Artikel 475e</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
9343,BWBR0002170/2584134,"Beroepswet, Artikel 17","Uw vraag lijkt te gaan om <b>Beroepswet, Artikel 17</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
9347,BWBR0002170/2584184,"Beroepswet, Artikel 21","Uw vraag lijkt te gaan om <b>Beroepswet, Artikel 21</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
9750,BWBR0002221/2497884,"Algemene Ouderdomswet, Artikel 1","Uw vraag lijkt te gaan om <b>Algemene Ouderdomswet, Artikel 1</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
12484,BWBR0002368/451574,"Algemene Kinderbijslagwet, Artikel 3","Uw vraag lijkt te gaan om <b>Algemene Kinderbijslagwet, Artikel 3</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
16704,BWBR0002524/2827244,"Wet op de arbeidsongeschiktheidsverzekering, Artikel 43a","Uw vraag lijkt te gaan om <b>Wet op de arbeidsongeschiktheidsverzekering, Artikel 43a</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
16708,BWBR0002524/2827274,"Wet op de arbeidsongeschiktheidsverzekering, Artikel 44","Uw vraag lijkt te gaan om <b>Wet op de arbeidsongeschiktheidsverzekering, Artikel 44</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
18732,BWBR0002614/2867034,"Algemene Wet Bijzondere Ziektekosten, Artikel 44","Uw vraag lijkt te gaan om <b>Algemene Wet Bijzondere Ziektekosten, Artikel 44</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
21760,BWBR0002844/2733904,"Wet uitkeringen vervolgingsslachtoffers 1940-1945, Artikel 61","Uw vraag lijkt te gaan om <b>Wet uitkeringen vervolgingsslachtoffers 1940-1945, Artikel 61</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
30978,BWBR0003664/322844,"Wet uitkeringen burger-oorlogsslachtoffers 1940-1945, Artikel 2","Uw vraag lijkt te gaan om <b>Wet uitkeringen burger-oorlogsslachtoffers 1940-1945, Artikel 2</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
37547,BWBR0004043/1723744,"Toeslagenwet, Artikel 11a","Uw vraag lijkt te gaan om het <b>intrekken of verminderen van toeslag</b>. Klopt dat? Dan kunt u het beste contact opnemen met een <a href=""fake link"">sociaal dienstverlener</a> in uw gemeente."
37768,BWBR0004045/2974044,"Werkloosheidswet, Artikel 24",Uw vraag lijkt te gaan om het <b>niet nakomen van de voorwaarden voor een werkloosheidsuitkering</b>. Willen ze uw werkloosheidsuitkering wegnemen? Neem dan contact op met
37816,BWBR0004045/2974344,"Werkloosheidswet, Artikel 45",Uw vraag lijkt te gaan over de <b>hoogte van een werkloosheidsuitkering</b>. Krijgt u te weinig uitkering? Neem dan contact op met
37766,BWBR0004045/2975644,"Werkloosheidswet, Artikel 22a","Uw vraag lijkt te gaan om het <b>intrekken of verminderen van een werkloosheidsuitkering</b>. Klopt dat? Dan kunt u het beste contact opnemen met een <a href=""fake link"">sociaal dienstverlener</a> in uw gemeente of het <a href=""fake link"">UWV</a>."
459020,BWBR0005290/2913534,"Burgerlijk Wetboek Boek 7, Artikel 610","Uw vraag lijkt te gaan om <b>Burgerlijk Wetboek Boek 7, Artikel 610</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
459047,BWBR0005290/2913724,"Burgerlijk Wetboek Boek 7, Artikel 625","Uw vraag lijkt te gaan om <b>Burgerlijk Wetboek Boek 7, Artikel 625</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
459102,BWBR0005290/2914224,"Burgerlijk Wetboek Boek 7, Artikel 669","Uw vraag lijkt te gaan om <b>Burgerlijk Wetboek Boek 7, Artikel 669</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
459106,BWBR0005290/2914244,"Burgerlijk Wetboek Boek 7, Artikel 671","Uw vraag lijkt te gaan om <b>Burgerlijk Wetboek Boek 7, Artikel 671</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
459111,BWBR0005290/2914264,"Burgerlijk Wetboek Boek 7, Artikel 673","Uw vraag lijkt te gaan om <b>Burgerlijk Wetboek Boek 7, Artikel 673</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55122,BWBR0005537/11992884,"Algemene wet bestuursrecht, Artikel 8:51d","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:51d</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55190,BWBR0005537/11994774,"Algemene wet bestuursrecht, Artikel 8:113","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:113</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55196,BWBR0005537/11994844,"Algemene wet bestuursrecht, Artikel 8:119","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:119</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54735,BWBR0005537/2813934,"Algemene wet bestuursrecht, Artikel 1:3","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 1:3</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54760,BWBR0005537/2814204,"Algemene wet bestuursrecht, Artikel 3:2","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 3:2</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54762,BWBR0005537/2814224,"Algemene wet bestuursrecht, Artikel 3:4","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 3:4</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54805,BWBR0005537/2814724,"Algemene wet bestuursrecht, Artikel 4:2","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:2</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54809,BWBR0005537/2814754,"Algemene wet bestuursrecht, Artikel 4:5","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:5</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54810,BWBR0005537/2814764,"Algemene wet bestuursrecht, Artikel 4:6","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:6</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55002,BWBR0005537/2815024,"Algemene wet bestuursrecht, Artikel 6:5","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:5</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55004,BWBR0005537/2815044,"Algemene wet bestuursrecht, Artikel 6:7","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:7</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55008,BWBR0005537/2815084,"Algemene wet bestuursrecht, Artikel 6:11","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:11</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55015,BWBR0005537/2815154,"Algemene wet bestuursrecht, Artikel 6:18","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:18</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55016,BWBR0005537/2815164,"Algemene wet bestuursrecht, Artikel 6:19","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:19</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55019,BWBR0005537/2815194,"Algemene wet bestuursrecht, Artikel 6:22","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:22</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55021,BWBR0005537/2815214,"Algemene wet bestuursrecht, Artikel 6:24","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 6:24</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55034,BWBR0005537/2815364,"Algemene wet bestuursrecht, Artikel 7:12","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 7:12</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55070,BWBR0005537/2815744,"Algemene wet bestuursrecht, Artikel 8:15","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:15</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55106,BWBR0005537/2816054,"Algemene wet bestuursrecht, Artikel 8:41","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:41</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55114,BWBR0005537/2816124,"Algemene wet bestuursrecht, Artikel 8:47","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:47</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55125,BWBR0005537/2816214,"Algemene wet bestuursrecht, Artikel 8:54","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:54</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55135,BWBR0005537/2816254,"Algemene wet bestuursrecht, Artikel 8:57","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:57</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55152,BWBR0005537/2816414,"Algemene wet bestuursrecht, Artikel 8:72","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:72</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55154,BWBR0005537/2816424,"Algemene wet bestuursrecht, Artikel 8:73","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:73</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
